id,name,category,action,archetype,domain,intent,workflow_1,workflow_2,workflow_3,workflow_4,input_hint
"confidence-builder","Confidence Builder","personal development","builder","plan","Confidence","Builder structures Confidence input into a practical step-by-step plan.","Define confidence objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"course-planner","Course Planner","personal development","planner","plan","Course","Planner structures Course input into a practical step-by-step plan.","Define course objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"goal-achiever","Goal Achiever","personal development","achiever","coach","Goal","Achiever gives targeted Goal guidance with next actions.","Assess goal baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"habit-designer","Habit Designer","personal development","designer","generate","Habit","Designer creates concrete Habit outputs you can use immediately.","Interpret habit direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"interview-prep","Interview Prep","personal development","prep","coach","Interview","Prep gives targeted Interview guidance with next actions.","Assess interview baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"leadership-trainer","Leadership Trainer","personal development","trainer","coach","Leadership","Trainer gives targeted Leadership guidance with next actions.","Assess leadership baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"learning-path","Learning Path","personal development","path","coach","Learning","Path gives targeted Learning guidance with next actions.","Assess learning baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"mentor-matcher","Mentor Matcher","personal development","coach","coach","Matcher","Coach gives targeted Matcher guidance with next actions.","Assess matcher baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"networking-navigator","Networking Navigator","personal development","navigator","explore","Networking","Navigator explores Networking options and prioritizes the strongest paths.","Frame networking search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"passion-finder","Passion Finder","personal development","finder","explore","Passion","Finder explores Passion options and prioritizes the strongest paths.","Frame passion search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"podcast-queue","Podcast Queue","personal development","queue","coach","Podcast","Queue gives targeted Podcast guidance with next actions.","Assess podcast baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"portfolio-builder","Portfolio Builder","personal development","builder","plan","Portfolio","Builder structures Portfolio input into a practical step-by-step plan.","Define portfolio objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"purpose-pathfinder","Purpose Pathfinder","personal development","pathfinder","coach","Purpose","Pathfinder gives targeted Purpose guidance with next actions.","Assess purpose baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"resume-refresher","Resume Refresher","personal development","refresher","coach","Resume","Refresher gives targeted Resume guidance with next actions.","Assess resume baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"salary-negotiator","Salary Negotiator","personal development","negotiator","coach","Salary","Negotiator gives targeted Salary guidance with next actions.","Assess salary baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"side-project-manager","Side Project Manager","personal development","manager","plan","Side Project","Manager structures Side Project input into a practical step-by-step plan.","Define side project objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"skill-tracker","Skill Tracker","personal development","tracker","inspect","Skill","Tracker reviews Skill input, highlights signals, and flags risks.","Parse skill context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"strength-finder","Strength Finder","personal development","finder","explore","Strength","Finder explores Strength options and prioritizes the strongest paths.","Frame strength search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"success-tracker","Success Tracker","personal development","tracker","inspect","Success","Tracker reviews Success input, highlights signals, and flags risks.","Parse success context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"value-validator","Value Validator","personal development","validator","inspect","Value","Validator reviews Value input, highlights signals, and flags risks.","Parse value context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"video-vault","Video Vault","personal development","vault","coach","Video","Vault gives targeted Video guidance with next actions.","Assess video baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"vision-board","Vision Board","personal development","board","coach","Vision","Board gives targeted Vision guidance with next actions.","Assess vision baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"workshop-watcher","Workshop Watcher","personal development","creator","generate","Watcher","Creator creates concrete Watcher outputs you can use immediately.","Interpret watcher direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"access-controller","Access Controller","privacy & security","controller","coach","Access","Controller gives targeted Access guidance with next actions.","Assess access baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"anonymous-browser","Anonymous Browser","privacy & security","browser","coach","Anonymous","Browser gives targeted Anonymous guidance with next actions.","Assess anonymous baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"backup-reminder","Backup Reminder","privacy & security","reminder","coach","Backup","Reminder gives targeted Backup guidance with next actions.","Assess backup baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"cookie-manager","Cookie Manager","privacy & security","manager","plan","Cookie","Manager structures Cookie input into a practical step-by-step plan.","Define cookie objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"data-breach-checker","Data Breach Checker","privacy & security","checker","inspect","Data Breach","Checker reviews Data Breach input, highlights signals, and flags risks.","Parse data breach context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"digital-footprint","Digital Footprint","privacy & security","footprint","coach","Digital","Footprint gives targeted Digital guidance with next actions.","Assess digital baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"encryption-helper","Encryption Helper","privacy & security","assistant","coach","Encryption","Assistant gives targeted Encryption guidance with next actions.","Assess encryption baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"identity-monitor","Identity Monitor","privacy & security","monitor","inspect","Identity","Monitor reviews Identity input, highlights signals, and flags risks.","Parse identity context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"identity-protector","Identity Protector","privacy & security","protector","coach","Identity","Protector gives targeted Identity guidance with next actions.","Assess identity baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"metadata-cleaner","Metadata Cleaner","privacy & security","cleaner","coach","Metadata","Cleaner gives targeted Metadata guidance with next actions.","Assess metadata baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"passphrase-generator","Passphrase Generator","privacy & security","generator","generate","Passphrase","Generator creates concrete Passphrase outputs you can use immediately.","Interpret passphrase direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"password-strength-meter","Password Strength Meter","privacy & security","meter","coach","Password Strength","Meter gives targeted Password Strength guidance with next actions.","Assess password strength baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"patch-tracker","Patch Tracker","privacy & security","tracker","inspect","Patch","Tracker reviews Patch input, highlights signals, and flags risks.","Parse patch context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"permission-auditor","Permission Auditor","privacy & security","auditor","inspect","Permission","Auditor reviews Permission input, highlights signals, and flags risks.","Parse permission context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"phishing-detector","Phishing Detector","privacy & security","analyzer","inspect","Phishing","Analyzer reviews Phishing input, highlights signals, and flags risks.","Parse phishing context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"privacy-checkup","Privacy Checkup","privacy & security","checkup","coach","Privacy","Checkup gives targeted Privacy guidance with next actions.","Assess privacy baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"privacy-scanner","Privacy Scanner","privacy & security","scanner","inspect","Privacy","Scanner reviews Privacy input, highlights signals, and flags risks.","Parse privacy context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"recovery-planner","Recovery Planner","privacy & security","planner","plan","Recovery","Planner structures Recovery input into a practical step-by-step plan.","Define recovery objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"secure-communication","Secure Communication","privacy & security","communication","coach","Secure","Communication gives targeted Secure guidance with next actions.","Assess secure baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"secure-delete","Secure Delete","privacy & security","delete","coach","Secure","Delete gives targeted Secure guidance with next actions.","Assess secure baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"secure-messenger","Secure Messenger","privacy & security","messenger","coach","Secure","Messenger gives targeted Secure guidance with next actions.","Assess secure baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"secure-note","Secure Note","privacy & security","note","coach","Secure","Note gives targeted Secure guidance with next actions.","Assess secure baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"security-audit","Security Audit","privacy & security","audit","coach","Security","Audit gives targeted Security guidance with next actions.","Assess security baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"security-trainer","Security Trainer","privacy & security","trainer","coach","Security","Trainer gives targeted Security guidance with next actions.","Assess security baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"session-manager","Session Manager","privacy & security","manager","plan","Session","Manager structures Session input into a practical step-by-step plan.","Define session objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"tor-guide","Tor Guide","privacy & security","guide","coach","Tor","Guide gives targeted Tor guidance with next actions.","Assess tor baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"tracker-blocker","Tracker Blocker","privacy & security","tracker","inspect","Blocker","Tracker reviews Blocker input, highlights signals, and flags risks.","Parse blocker context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"two-factor-guide","Two Factor Guide","privacy & security","guide","coach","Two Factor","Guide gives targeted Two Factor guidance with next actions.","Assess two factor baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"vpn-selector","Vpn Selector","privacy & security","finder","explore","Vpn","Finder explores Vpn options and prioritizes the strongest paths.","Frame vpn search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"vulnerability-scanner","Vulnerability Scanner","privacy & security","scanner","inspect","Vulnerability","Scanner reviews Vulnerability input, highlights signals, and flags risks.","Parse vulnerability context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"attention-architect","Attention Architect","productivity & focus","architect","plan","Attention","Architect structures Attention input into a practical step-by-step plan.","Define attention objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"automation-architect","Automation Architect","productivity & focus","architect","plan","Automation","Architect structures Automation input into a practical step-by-step plan.","Define automation objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"batch-builder","Batch Builder","productivity & focus","builder","plan","Batch","Builder structures Batch input into a practical step-by-step plan.","Define batch objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"capacity-calculator","Capacity Calculator","productivity & focus","calculator","quantify","Capacity","Calculator turns Capacity input into clear metrics and decision-ready numbers.","Collect capacity inputs","Normalize values and units","Compute core metrics","Recommend next move","Enter numbers, assumptions, and targets (one per line or sentence)."
"checklist-champion","Checklist Champion","productivity & focus","champion","coach","Checklist","Champion gives targeted Checklist guidance with next actions.","Assess checklist baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"context-switcher","Context Switcher","productivity & focus","switcher","coach","Context","Switcher gives targeted Context guidance with next actions.","Assess context baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"deadline-designer","Deadline Designer","productivity & focus","designer","generate","Deadline","Designer creates concrete Deadline outputs you can use immediately.","Interpret deadline direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"deep-work-timer","Deep Work Timer","productivity & focus","timer","coach","Deep Work","Timer gives targeted Deep Work guidance with next actions.","Assess deep work baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"delegation-designer","Delegation Designer","productivity & focus","designer","generate","Delegation","Designer creates concrete Delegation outputs you can use immediately.","Interpret delegation direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"distraction-deflector","Distraction Deflector","productivity & focus","deflector","coach","Distraction","Deflector gives targeted Distraction guidance with next actions.","Assess distraction baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"efficiency-engine","Efficiency Engine","productivity & focus","engine","coach","Efficiency","Engine gives targeted Efficiency guidance with next actions.","Assess efficiency baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"energy-manager","Energy Manager","productivity & focus","manager","plan","Energy","Manager structures Energy input into a practical step-by-step plan.","Define energy objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"energy-optimizer","Energy Optimizer","productivity & focus","optimizer","optimize","Energy","Optimizer optimizes Energy workflows for better performance.","Audit energy flow","Find bottlenecks","Apply targeted improvements","Measure gains and iterate","Describe current process, bottlenecks, and goals."
"flow-finder","Flow Finder","productivity & focus","finder","explore","Flow","Finder explores Flow options and prioritizes the strongest paths.","Frame flow search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"flow-tracker","Flow Tracker","productivity & focus","tracker","inspect","Flow","Tracker reviews Flow input, highlights signals, and flags risks.","Parse flow context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"focus-frequency","Focus Frequency","productivity & focus","frequency","coach","Focus","Frequency gives targeted Focus guidance with next actions.","Assess focus baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"interruption-blocker","Interruption Blocker","productivity & focus","blocker","coach","Interruption","Blocker gives targeted Interruption guidance with next actions.","Assess interruption baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"micro-break-oracle","🧘 Micro Break Oracle","productivity & focus","advisor","coach","Micro Break","Advisor gives targeted Micro Break guidance with next actions.","Assess micro break baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"momentum-meter","Momentum Meter","productivity & focus","meter","coach","Momentum","Meter gives targeted Momentum guidance with next actions.","Assess momentum baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"obstacle-oracle","Obstacle Oracle","productivity & focus","advisor","coach","Obstacle","Advisor gives targeted Obstacle guidance with next actions.","Assess obstacle baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"output-optimizer","Output Optimizer","productivity & focus","optimizer","optimize","Output","Optimizer optimizes Output workflows for better performance.","Audit output flow","Find bottlenecks","Apply targeted improvements","Measure gains and iterate","Describe current process, bottlenecks, and goals."
"progress-painter","Progress Painter","productivity & focus","painter","coach","Progress","Painter gives targeted Progress guidance with next actions.","Assess progress baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"routine-rhythm","Routine Rhythm","productivity & focus","rhythm","coach","Routine","Rhythm gives targeted Routine guidance with next actions.","Assess routine baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"shortcut-scout","Shortcut Scout","productivity & focus","scout","coach","Shortcut","Scout gives targeted Shortcut guidance with next actions.","Assess shortcut baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"sprint-scheduler","Sprint Scheduler","productivity & focus","scheduler","plan","Sprint","Scheduler structures Sprint input into a practical step-by-step plan.","Define sprint objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"system-sculptor","System Sculptor","productivity & focus","designer","generate","Productivity & Focus","Designer creates concrete Productivity & Focus outputs you can use immediately.","Interpret productivity & focus direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"task-prioritizer","Task Prioritizer","productivity & focus","prioritizer","coach","Task","Prioritizer gives targeted Task guidance with next actions.","Assess task baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"task-topology","Task Topology","productivity & focus","topology","coach","Task","Topology gives targeted Task guidance with next actions.","Assess task baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"template-treasury","Template Treasury","productivity & focus","treasury","coach","Template","Treasury gives targeted Template guidance with next actions.","Assess template baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"time-telescope","Time Telescope","productivity & focus","telescope","coach","Time","Telescope gives targeted Time guidance with next actions.","Assess time baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"workflow-weaver","Workflow Weaver","productivity & focus","weaver","coach","Workflow","Weaver gives targeted Workflow guidance with next actions.","Assess workflow baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"achievement-unlocked","Achievement Unlocked","productivity tools","unlocked","coach","Achievement","Unlocked gives targeted Achievement guidance with next actions.","Assess achievement baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"action-item-tracker","Action Item Tracker","productivity tools","tracker","inspect","Action Item","Tracker reviews Action Item input, highlights signals, and flags risks.","Parse action item context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"agenda-architect","Agenda Architect","productivity tools","architect","plan","Agenda","Architect structures Agenda input into a practical step-by-step plan.","Define agenda objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"automation-builder","Automation Builder","productivity tools","builder","plan","Automation","Builder structures Automation input into a practical step-by-step plan.","Define automation objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"badge-collector","Badge Collector","productivity tools","collector","coach","Badge","Collector gives targeted Badge guidance with next actions.","Assess badge baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"bottleneck-finder","Bottleneck Finder","productivity tools","finder","explore","Bottleneck","Finder explores Bottleneck options and prioritizes the strongest paths.","Frame bottleneck search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"brainstorm-buddy","Brainstorm Buddy","productivity tools","assistant","coach","Brainstorm","Assistant gives targeted Brainstorm guidance with next actions.","Assess brainstorm baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"burndown-builder","Burndown Builder","productivity tools","builder","plan","Burndown","Builder structures Burndown input into a practical step-by-step plan.","Define burndown objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"capacity-planner","Capacity Planner","productivity tools","planner","plan","Capacity","Planner structures Capacity input into a practical step-by-step plan.","Define capacity objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"chart-chooser","Chart Chooser","productivity tools","chooser","coach","Chart","Chooser gives targeted Chart guidance with next actions.","Assess chart baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"communication-planner","Communication Planner","productivity tools","planner","plan","Communication","Planner structures Communication input into a practical step-by-step plan.","Define communication objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"dashboard-designer","Dashboard Designer","productivity tools","designer","generate","Dashboard","Designer creates concrete Dashboard outputs you can use immediately.","Interpret dashboard direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"data-visualizer","Data Visualizer","productivity tools","visualizer","coach","Data","Visualizer gives targeted Data guidance with next actions.","Assess data baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"decision-log","Decision Log","productivity tools","log","coach","Decision","Log gives targeted Decision guidance with next actions.","Assess decision baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"dependency-detector","Dependency Detector","productivity tools","analyzer","inspect","Dependency","Analyzer reviews Dependency input, highlights signals, and flags risks.","Parse dependency context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"diagram-designer","Diagram Designer","productivity tools","designer","generate","Diagram","Designer creates concrete Diagram outputs you can use immediately.","Interpret diagram direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"eisenhower-box","Eisenhower Box","productivity tools","box","coach","Eisenhower","Box gives targeted Eisenhower guidance with next actions.","Assess eisenhower baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"estimation-helper","Estimation Helper","productivity tools","assistant","coach","Estimation","Assistant gives targeted Estimation guidance with next actions.","Assess estimation baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"flowchart-factory","Flowchart Factory","productivity tools","factory","coach","Flowchart","Factory gives targeted Flowchart guidance with next actions.","Assess flowchart baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"gantt-generator","Gantt Generator","productivity tools","generator","generate","Gantt","Generator creates concrete Gantt outputs you can use immediately.","Interpret gantt direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"goal-tracker","Goal Tracker","productivity tools","tracker","inspect","Goal","Tracker reviews Goal input, highlights signals, and flags risks.","Parse goal context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"habit-tracker","Habit Tracker","productivity tools","tracker","inspect","Habit","Tracker reviews Habit input, highlights signals, and flags risks.","Parse habit context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"idea-evaluator","Idea Evaluator","productivity tools","evaluator","coach","Idea","Evaluator gives targeted Idea guidance with next actions.","Assess idea baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"kanban-board","Kanban Board","productivity tools","board","coach","Kanban","Board gives targeted Kanban guidance with next actions.","Assess kanban baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"kpi-dashboard","Kpi Dashboard","productivity tools","dashboard","coach","Kpi","Dashboard gives targeted Kpi guidance with next actions.","Assess kpi baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"leaderboard-maker","Leaderboard Maker","productivity tools","maker","generate","Leaderboard","Maker creates concrete Leaderboard outputs you can use immediately.","Interpret leaderboard direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"lesson-learned-library","Lesson Learned Library","productivity tools","library","coach","Lesson Learned","Library gives targeted Lesson Learned guidance with next actions.","Assess lesson learned baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"level-up-life","Level Up Life","productivity tools","life","coach","Level Up","Life gives targeted Level Up guidance with next actions.","Assess level up baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"meeting-notes","Meeting Notes","productivity tools","notes","coach","Meeting","Notes gives targeted Meeting guidance with next actions.","Assess meeting baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"meeting-timer","⏰ Meeting Timer","productivity tools","timer","coach","Meeting","Timer gives targeted Meeting guidance with next actions.","Assess meeting baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"metric-monitor","Metric Monitor","productivity tools","monitor","inspect","Metric","Monitor reviews Metric input, highlights signals, and flags risks.","Parse metric context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"milestone-mapper","Milestone Mapper","productivity tools","mapper","explore","Milestone","Mapper explores Milestone options and prioritizes the strongest paths.","Frame milestone search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"mind-map-maker","Mind Map Maker","productivity tools","maker","generate","Mind Map","Maker creates concrete Mind Map outputs you can use immediately.","Interpret mind map direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"okr-organizer","Okr Organizer","productivity tools","organizer","plan","Okr","Organizer structures Okr input into a practical step-by-step plan.","Define okr objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"performance-dashboard","Performance Dashboard","productivity tools","dashboard","coach","Performance","Dashboard gives targeted Performance guidance with next actions.","Assess performance baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"priority-matrix","Priority Matrix","productivity tools","matrix","coach","Priority","Matrix gives targeted Priority guidance with next actions.","Assess priority baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"process-mapper","Process Mapper","productivity tools","mapper","explore","Process","Mapper explores Process options and prioritizes the strongest paths.","Frame process search","Score candidate options","Highlight tradeoffs","Prioritize top opportunities","List options, context, and selection criteria."
"productivity-coach","Productivity Coach","productivity tools","coach","coach","Productivity","Coach gives targeted Productivity guidance with next actions.","Assess productivity baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"project-analyzer","Project Analyzer","productivity tools","analyzer","inspect","Project","Analyzer reviews Project input, highlights signals, and flags risks.","Parse project context","Identify key patterns","Flag constraints and risks","Propose corrective actions","Paste items, notes, or data to analyze."
"project-timeline","Project Timeline","productivity tools","timeline","coach","Project","Timeline gives targeted Project guidance with next actions.","Assess project baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"quest-log","Quest Log","productivity tools","log","coach","Quest","Log gives targeted Quest guidance with next actions.","Assess quest baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"report-generator","Report Generator","productivity tools","generator","generate","Report","Generator creates concrete Report outputs you can use immediately.","Interpret report direction","Generate option set","Refine top candidates","Return usable outputs","Describe style, constraints, and desired output."
"resource-calculator","Resource Calculator","productivity tools","calculator","quantify","Resource","Calculator turns Resource input into clear metrics and decision-ready numbers.","Collect resource inputs","Normalize values and units","Compute core metrics","Recommend next move","Enter numbers, assumptions, and targets (one per line or sentence)."
"resource-planner","Resource Planner","productivity tools","planner","plan","Resource","Planner structures Resource input into a practical step-by-step plan.","Define resource objective","Split work into phases","Order by dependency and impact","Assign clear execution steps","Describe goal, constraints, and deadline."
"retrospective-helper","Retrospective Helper","productivity tools","assistant","coach","Retrospective","Assistant gives targeted Retrospective guidance with next actions.","Assess retrospective baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
"reward-system","Reward System","productivity tools","system","coach","Reward","System gives targeted Reward guidance with next actions.","Assess reward baseline","Find leverage points","Design short feedback loops","Set follow-up actions","Describe current state, challenge, and desired outcome."
